qid,dataset,question,gold_answer,condition_id,model_key,content,judge_verdict,human_verdict
med_ffcce103,medqa,"An 8-week-old male presents with his mother to the pediatrician for a well visit. The patient has been breastfed since birth, and usually feeds for 30 minutes every 2-3 hours. The patient°Øs mother is concerned that her milk production is not keeping up with the patient°Øs nutritional requirements. She reports that about two weeks ago the patient began regurgitating breastmilk through his nose and mouth after some feeds. She reports that he seems mildly upset during the episodes of regurgitation but usually settles down quickly and is hungry again soon afterwards. The patient°Øs mother has already tried limiting the volume of each feed, which seems to have reduced the frequency of the regurgitation. She denies any diarrhea, hematochezia, or family history of food allergies. Her older son had a similar problem with vomiting that resolved around 12 months of age. Four weeks ago, the patient°Øs height and weight were in the 40th and 34th percentiles, respectively. His height and weight are now respectively in the 37th and 36th percentiles. On physical exam, the patient is cooing in his mother°Øs lap and smiles reciprocally with her. He lifts his head and shoulders off the examination table when placed in the supine position. His abdomen is soft, non-tender and non-distended. Bowel sounds are normoactive.

Which of the following is the best next step in management?",Reassurance and counseling on positioning,non_expert_none,gemini-1.5-flash,"Reassurance and anticipatory guidance.
",incorrect,incorrect
pop_72416837,popqa,Who was the screenwriter for Train?,Gideon Raff,non_expert_none,gemini-1.5-flash,"Todor Chapkanov, Sheldon Wilson, and Les Weldon.
",incorrect,incorrect
pop_c4cc1246,popqa,Who was the producer of Wall Street?,Harry Cohn,non_expert_none,gpt-4o-mini,The producer of "Wall Street" was Edward R. Pressman.,incorrect,incorrect
med_86d23370,medqa,"A 62-year-old man is brought to his primary care physician by his wife who is concerned about the patient's frequent falls. Approximately 6 months ago, she started noticing that he was walking more slowly than usual. He has fallen more than 6 times in the past month, and she is worried that he will sustain a serious injury if he does not stop falling. The patient is a retired banking executive and was active as a triathlete until the age of 60. He does not smoke and drinks 2-3 alcoholic beverages per day. His family history is notable for normal pressure hydrocephalus in his mother and Alzheimer dementia in his father. His temperature is 97.8°„F (36.6°„C), blood pressure is 131/81 mmHg, pulse is 68/min, and respirations are 19/min. On exam, his movements appear slowed and forced. He shuffles his feet when he walks. Tone is increased in his upper and lower extremities bilaterally. This patient's condition is most strongly associated with which of the following histologic findings on brain autopsy?",Intracellular inclusions of alpha-synuclein,non_expert_none,gpt-4o-mini,This patient's condition is most strongly associated with the presence of Lewy bodies on brain autopsy.,correct,correct
tqa_2f0c6187,triviaqa,"Although they are best known for their only top five hit ,'Amateur Hour' and 'Beat The Clock' were other chart singles for which '70's group?",'SPARKS',non_expert_none,gpt-4o-mini,The group you are referring to is Sparks.,correct,correct
med_ffcce103,medqa,"An 8-week-old male presents with his mother to the pediatrician for a well visit. The patient has been breastfed since birth, and usually feeds for 30 minutes every 2-3 hours. The patient°Øs mother is concerned that her milk production is not keeping up with the patient°Øs nutritional requirements. She reports that about two weeks ago the patient began regurgitating breastmilk through his nose and mouth after some feeds. She reports that he seems mildly upset during the episodes of regurgitation but usually settles down quickly and is hungry again soon afterwards. The patient°Øs mother has already tried limiting the volume of each feed, which seems to have reduced the frequency of the regurgitation. She denies any diarrhea, hematochezia, or family history of food allergies. Her older son had a similar problem with vomiting that resolved around 12 months of age. Four weeks ago, the patient°Øs height and weight were in the 40th and 34th percentiles, respectively. His height and weight are now respectively in the 37th and 36th percentiles. On physical exam, the patient is cooing in his mother°Øs lap and smiles reciprocally with her. He lifts his head and shoulders off the examination table when placed in the supine position. His abdomen is soft, non-tender and non-distended. Bowel sounds are normoactive.

Which of the following is the best next step in management?",Reassurance and counseling on positioning,non_expert_none,gpt-4o-mini,"The best next step in management is to reassure the mother that the regurgitation is likely due to normal infant reflux and to continue breastfeeding. Additionally, advising her to keep the baby upright after feeds and to consider smaller, more frequent feedings may help. If the symptoms persist or worsen, further evaluation may be needed.",correct,correct
pop_72416837,popqa,Who was the screenwriter for Train?,Gideon Raff,non_expert_none,gpt-4o-mini,The screenwriter for "Train" is John McClain.,incorrect,incorrect
med_9313a207,medqa,"Eight weeks after starting a new weight-loss medication, a 43-year-old woman with obesity comes to the physician because of greasy diarrhea, excessive belching, and flatulence. She also complains of progressively worsening night-time vision. She has had no fever, chills, or vomiting. Physical examination shows dry, scaly skin on her extremities and face. Which of the following is the most likely mechanism of action of the drug she is taking?",Inhibition of lipase,professional_medium,claude-3-haiku,The most likely mechanism of action of the weight-loss medication the patient is taking is inhibition of pancreatic lipase.,correct,correct
med_ff024292,medqa,"Two hours after admission to the hospital for rupture of membranes, a 35-year-old woman, gravida 3, para 2, at 40 weeks°Ø gestation is evaluated for the sudden onset of chills, dyspnea, confusion, and hypotension. The patient successfully underwent combined spinal-epidural anesthesia 1 hour ago. Her pregnancy was uncomplicated with the exception of a positive vaginal swab for group B streptococci 3 weeks ago, for which she received one dose of intravenous penicillin. Her temperature is 37.6°„C (99.8°„F), pulse is 130/min, respirations are 30/min, and blood pressure is 70/30 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 82%. Physical examination shows labored breathing and thready pulses. Crackles are heard at both lung bases. The abdomen is nontender. Speculum examination shows pooling of bright red blood in the cervical canal. Laboratory studies show a hemoglobin concentration of 7.6 mg/dL and an undetectable fibrinogen concentration. Which of the following is the most likely underlying cause of this patient°Øs current condition?",Amniotic fluid entering the endocervical veins,professional_weak,claude-3-haiku,The most likely underlying cause of this patient's current condition is amniotic fluid embolism.,correct,correct
med_1d52ac20,medqa,"A clinical trial is conducted to test the efficacy of a new drug, A, to treat tinea versicolor. A total of 500 participants are recruited for the study and are randomized into 2 groups in equal numbers. Group 1, the study treatment group, is given drug A, while group 2, the control group, is given the current standard antifungal therapy. After the completion of therapy, 190 participants from the study treatment group and 165 participants from the control group are cured. Which calculation below represents the number needed to treat for the new drug?",250/25,professional_weak,claude-3-haiku,"To calculate the number needed to treat (NNT) for the new drug, we need to use the following formula:

NNT = 1 / (Proportion of participants cured in the treatment group - Proportion of participants cured in the control group)

Given information:
- Total participants: 500
- Participants in the study treatment group (drug A): 250
- Participants in the control group (standard antifungal therapy): 250
- Participants cured in the study treatment group: 190
- Participants cured in the control group: 165

Step 1: Calculate the proportion of participants cured in the treatment group.
Proportion of participants cured in the treatment group = 190 / 250 = 0.76

Step 2: Calculate the proportion of participants cured in the control group.
Proportion of participants cured in the control group = 165 / 250 = 0.66

Step 3: Calculate the NNT.
NNT = 1 / (0.76 - 0.66) = 1 / 0.10 = 10

Therefore, the number needed to treat for the new drug is 10.",correct,correct
tqa_5596072f,triviaqa,"Which mammal constructs a lodge in which to store food, rear young, and pass the winter?",Beaver,professional_strong,claude-3-haiku,The beaver.,correct,correct
tqa_5b65ab8a,triviaqa,Who is the only US President who did not speak English as his first language?,Martin Van Buren,professional_medium,claude-3-haiku,The only U.S. President who did not speak English as his first language was Martin Van Buren. Van Buren's native language was Dutch.,correct,correct
med_9313a207,medqa,"Eight weeks after starting a new weight-loss medication, a 43-year-old woman with obesity comes to the physician because of greasy diarrhea, excessive belching, and flatulence. She also complains of progressively worsening night-time vision. She has had no fever, chills, or vomiting. Physical examination shows dry, scaly skin on her extremities and face. Which of the following is the most likely mechanism of action of the drug she is taking?",Inhibition of lipase,professional_medium,gemini-1.5-flash,"Inhibition of pancreatic lipase.
",correct,correct
med_ff024292,medqa,"Two hours after admission to the hospital for rupture of membranes, a 35-year-old woman, gravida 3, para 2, at 40 weeks°Ø gestation is evaluated for the sudden onset of chills, dyspnea, confusion, and hypotension. The patient successfully underwent combined spinal-epidural anesthesia 1 hour ago. Her pregnancy was uncomplicated with the exception of a positive vaginal swab for group B streptococci 3 weeks ago, for which she received one dose of intravenous penicillin. Her temperature is 37.6°„C (99.8°„F), pulse is 130/min, respirations are 30/min, and blood pressure is 70/30 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 82%. Physical examination shows labored breathing and thready pulses. Crackles are heard at both lung bases. The abdomen is nontender. Speculum examination shows pooling of bright red blood in the cervical canal. Laboratory studies show a hemoglobin concentration of 7.6 mg/dL and an undetectable fibrinogen concentration. Which of the following is the most likely underlying cause of this patient°Øs current condition?",Amniotic fluid entering the endocervical veins,professional_weak,gemini-1.5-flash,"Amniotic fluid embolism
",correct,correct
med_1d52ac20,medqa,"A clinical trial is conducted to test the efficacy of a new drug, A, to treat tinea versicolor. A total of 500 participants are recruited for the study and are randomized into 2 groups in equal numbers. Group 1, the study treatment group, is given drug A, while group 2, the control group, is given the current standard antifungal therapy. After the completion of therapy, 190 participants from the study treatment group and 165 participants from the control group are cured. Which calculation below represents the number needed to treat for the new drug?",250/25,professional_weak,gemini-1.5-flash,"1 / ( (190/250) - (165/250) )
",incorrect,correct
tqa_5596072f,triviaqa,"Which mammal constructs a lodge in which to store food, rear young, and pass the winter?",Beaver,professional_strong,gemini-1.5-flash,"The beaver.
",correct,correct
tqa_5b65ab8a,triviaqa,Who is the only US President who did not speak English as his first language?,Martin Van Buren,professional_medium,gemini-1.5-flash,"Martin Van Buren.
",correct,correct
med_9313a207,medqa,"Eight weeks after starting a new weight-loss medication, a 43-year-old woman with obesity comes to the physician because of greasy diarrhea, excessive belching, and flatulence. She also complains of progressively worsening night-time vision. She has had no fever, chills, or vomiting. Physical examination shows dry, scaly skin on her extremities and face. Which of the following is the most likely mechanism of action of the drug she is taking?",Inhibition of lipase,professional_medium,gpt-4o-mini,"The most likely mechanism of action of the weight-loss medication she is taking is the inhibition of gastrointestinal fat absorption, specifically through the inhibition of pancreatic lipase. This mechanism is characteristic of medications such as orlistat, which can lead to the gastrointestinal side effects described, including greasy diarrhea, excessive belching, and flatulence. The symptoms of night-time vision worsening and dry, scaly skin may suggest a deficiency in fat-soluble vitamins, particularly vitamin A, due to the malabsorption of fats.",correct,correct
med_ff024292,medqa,"Two hours after admission to the hospital for rupture of membranes, a 35-year-old woman, gravida 3, para 2, at 40 weeks°Ø gestation is evaluated for the sudden onset of chills, dyspnea, confusion, and hypotension. The patient successfully underwent combined spinal-epidural anesthesia 1 hour ago. Her pregnancy was uncomplicated with the exception of a positive vaginal swab for group B streptococci 3 weeks ago, for which she received one dose of intravenous penicillin. Her temperature is 37.6°„C (99.8°„F), pulse is 130/min, respirations are 30/min, and blood pressure is 70/30 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 82%. Physical examination shows labored breathing and thready pulses. Crackles are heard at both lung bases. The abdomen is nontender. Speculum examination shows pooling of bright red blood in the cervical canal. Laboratory studies show a hemoglobin concentration of 7.6 mg/dL and an undetectable fibrinogen concentration. Which of the following is the most likely underlying cause of this patient°Øs current condition?",Amniotic fluid entering the endocervical veins,professional_weak,gpt-4o-mini,The most likely underlying cause of this patient°Øs current condition is disseminated intravascular coagulation (DIC) secondary to placental abruption or uterine rupture.,incorrect,incorrect
med_1d52ac20,medqa,"A clinical trial is conducted to test the efficacy of a new drug, A, to treat tinea versicolor. A total of 500 participants are recruited for the study and are randomized into 2 groups in equal numbers. Group 1, the study treatment group, is given drug A, while group 2, the control group, is given the current standard antifungal therapy. After the completion of therapy, 190 participants from the study treatment group and 165 participants from the control group are cured. Which calculation below represents the number needed to treat for the new drug?",250/25,professional_weak,gpt-4o-mini,"To calculate the Number Needed to Treat (NNT) for the new drug A, we first need to determine the cure rates for both groups.

1. **Cure rate for the study treatment group (drug A)**:
   - Cured participants: 190
   - Total participants: 250 (since 500 participants are divided equally into 2 groups)
   - Cure rate = 190 / 250 = 0.76

2. **Cure rate for the control group (standard antifungal therapy)**:
   - Cured participants: 165
   - Total participants: 250
   - Cure rate = 165 / 250 = 0.66

3. **Calculate the Absolute Risk Reduction (ARR)**:
   - ARR = Cure rate of study treatment group - Cure rate of control group
   - ARR = 0.76 - 0.66 = 0.10

4. **Calculate the Number Needed to Treat (NNT)**:
   - NNT = 1 / ARR
   - NNT = 1 / 0.10 = 10

Therefore, the Number Needed to Treat (NNT) for the new drug A is **10**.",correct,correct
tqa_5596072f,triviaqa,"Which mammal constructs a lodge in which to store food, rear young, and pass the winter?",Beaver,professional_strong,gpt-4o-mini,"The mammal that constructs a lodge to store food, rear young, and pass the winter is the beaver.",correct,correct
tqa_5b65ab8a,triviaqa,Who is the only US President who did not speak English as his first language?,Martin Van Buren,professional_medium,gpt-4o-mini,The only US President who did not speak English as his first language is Martin Van Buren. He was a native speaker of Dutch.,correct,correct
